product_id,language_id,name,h2
789,1,Доставить букет из розовых роз и альстромерий &quot;Нежный дуэт&quot; по Минску и Беларуси,"Доставка букета ""Нежный дуэт"" из розовых роз и альстромерий по Минску"
789,2,Delivery of bouquet of flowers &quot;Gentle Duo&quot; in Minsk - convenient and fast,"""Convenient & Fast Delivery of 'Gentle Duo' Bouquet in Minsk"""
746,1,"Оформите заказ на игрушка дисней &quot;Гуфи&quot;, 45 см. с доставкой Минск, Беларусь","## Закажите игрушку Disney ""Гуфи"" 45 см с доставкой в Минск!"
746,2,"Best prices for soft toy &quot;Goofy&quot;, 45 сm with delivery to Minsk","""Best Prices on 45 cm Goofy Soft Toy with Delivery to Minsk!"""
804,1,Закажите букет из 5 розовых гербер с доставкой в Беларуси,"""Закажите букет из 5 розовых гербер с доставкой по Беларуси"""
965,1,"Быстрая доставка открытка &quot;Моему котёнку&quot; 8, ручная работа в Минске","""Открытка 'Моему котёнку' - Быстрая доставка, ручная работа в Минске"""
965,2,"Place an order for postcard &quot;To my kitten&quot; 8, handmade with delivery Minsk, Belarus","**Order ""To My Kitten"" Handmade Postcard - Delivery in Minsk, Belarus**"
585,1,Лучшие цены на корзина из роз в форме сердца &quot;Любящее сердце &quot; с доставкой по Минску,"""Корзина из роз в форме сердца 'Любящее сердце' — лучшие цены!"""
585,2,"Delivery of heart-shaped arrangement «loving heart », red roses in Minsk - convenient and fast","""Fast Delivery of Heart-Shaped 'Loving Heart' Red Roses in Minsk"""
745,1,"Закажите игрушка дисней &quot;Дональд&quot;, 28 см. с доставкой в Беларуси","Закажите игрушку Disney ""Дональд"" 28 см с доставкой в Беларуси!"
745,2,"Order soft toy &quot;Donald&quot;, 28 сm with delivery to Belarus","Order Soft Toy ""Donald"" 28 cm with Delivery to Belarus Today!"
552,1,"Быстрая доставка набор конфет &quot;Белая Русь&quot;, 630 гр. в Минске","Быстрая доставка набор конфет ""Белая Русь"", 630 гр. в Минске!"
552,2,"Fast delivery of assorted candies &quot;White Russia&quot;, 630 gr. in Minsk","""Fast Delivery of Assorted Candies 'White Russia' - 630g in Minsk!"""
964,1,"Доставить открытка &quot;Люблю&quot; №6, ручная работа по Минску и Беларуси","Доставка открытки ""Люблю"" №6, ручная работа по Минску и Беларуси"
964,2,"Best prices for postcard &quot;Love&quot; №6, handmade with delivery to Minsk","""Shop Handmade Postcard 'Love' №6 - Best Prices & Delivery to Minsk!"""
629,1,"Доставка конфеты raffaello, 150 г. по всей Беларуси",Доставка конфет Raffaello 150 г по всей Беларуси - вкусное удовольствие!
629,2,"Best prices for сandy raffaello, 150gr. with delivery to Minsk","""Best Prices for Raffaello Candy 150g with Delivery to Minsk!"""
562,1,Доставка букет из 11 красных роз по Минску – удобно и быстро,"""Быстрая доставка букета из 11 красных роз по Минску"""
562,2,Delivery of bouquet of flowers &quot;11 Red Roses&quot; in Minsk - convenient and fast,"""Convenient & Fast Delivery of 11 Red Roses Bouquet in Minsk"""
648,1,Закажите букет из лилий и роз &quot;Восторг&quot; с доставкой в Беларуси,"Закажите букет из лилий и роз ""Восторг"" с доставкой в Беларуси!"
648,2,Fast delivery of bouquet of flowers &quot;Delight&quot; in Minsk,"""Fast Delivery of Delight Bouquet in Minsk – Order Now!"""
575,1,"Оформите заказ на букет из роз и хризантем &quot;Цветочная фантазия&quot; с доставкой Минск, Беларусь","### Закажите букет ""Цветочная фантазия"": розы и хризантемы в Минске!"
575,2,Buy flower hand-tied &quot;Classic Fantasy Bouquet&quot; with delivery to Minsk,"""Order Classic Fantasy Bouquet Hand-Tied with Delivery to Minsk"""
603,1,Купить букет лилий &quot;Я тебя люблю&quot; с доставкой по Минску,"Купить букет лилий ""Я тебя люблю"" с доставкой по Минску!"
603,2,Deliver bouquet of flowers &quot;I Love You&quot; to Minsk and Belarus,"""Send a Beautiful 'I Love You' Flower Bouquet to Minsk, Belarus"""
682,1,"Оформите заказ на цветочная композиция в корзине &quot;25 белых роз&quot; с доставкой Минск, Беларусь",Закажите элегантную композицию: 25 белых роз с доставкой в Минск
682,2,Delivery of flower arrangement in a basket «25 white roses» all over Belarus,"""Stylish Flower Arrangement: 25 White Roses in a Basket Delivery"""
704,1,"Купить фольгированный шарик &quot;Счастливого дня рождения&quot;, №29 с доставкой по Минску","Купить фольгированный шарик ""Счастливого дня рождения"" в Минске!"
704,2,Fast delivery of foil&amp;mylar balloon &quot;Happy birthday&quot; filled with helium № 29 in Minsk,"""Hurry! Helium-Filled 'Happy Birthday' Foil & Mylar Balloons in Minsk!"""
923,1,"Купить открытка &quot;Моему котёнку&quot; №12, ручная работа в Минске","Купить открытку ""Моему котёнку"" №12: Ручная работа в Минске"
923,2,"Delivery of postcard &quot;For my kitten&quot; №12, handmade in Minsk - convenient and fast","""Shop Handmade Postcard 'For My Kitten' №12 - Fast Delivery!"""
551,1,Закажите букет из роз и гербер &quot;Белоснежная Фантазия&quot; с доставкой в Беларуси,"Закажите букет ""Белоснежная Фантазия"" с доставкой в Беларуси"
551,2,Deliver bouquet of flowers &quot;Snow-white fantasy&quot; to Minsk and Belarus,"""Stunning 'Snow-White Fantasy' Flower Bouquet Delivery to Minsk"""
712,1,Доставка букет из 15 разноцветных роз по Минску – удобно и быстро,Доставка букета из 15 разноцветных роз по Минску быстро и удобно
712,2,Delivery of bouquet of 15 multy-colored roses all over Belarus,"""Stunning Delivery of 15 Multy-Colored Roses Across Belarus"""
894,1,Быстрая доставка красные розы в чёрной коробке в Минске,"""Быстрая доставка красных роз в чёрной коробке по Минску"""
894,2,Delivery of red roses in black box all over Belarus,"""Elegant Red Roses in Black Box - Delivery Across Belarus"""
893,1,"Оформите заказ на открытка &quot;С Днём Рождения&quot; №2 с доставкой Минск, Беларусь","Заголовок H2: Закажите открытку ""С Днём Рождения"" №2 с доставкой в Минск!"
893,2,Delivery of postcard &quot;Happy Birthday&quot; №2 all over Belarus,"""Delivery of 'Happy Birthday' Postcard №2 Across Belarus - Order Now!"""
892,2,Delivery of postcard heart in Minsk - convenient and fast,"""Fast & Convenient Postcard Heart Delivery in Minsk - Shop Now!"""
610,1,"Купить кофе молотый &quot;Lavazza&quot; qualita oro, жареный с доставкой по Минску","Купить кофе молотый ""Lavazza"" Qualita Oro с доставкой в Минск"
610,2,"Deliver coffee &quot;LAVAZZA&quot; qualita oro, roasted to Minsk and Belarus","""Buy Lavazza Qualita Oro Coffee - Freshly Roasted for Minsk & Belarus"""
870,1,"Закажите плюшевый мишка с бантом, жёлтый с доставкой в Беларуси",Закажите жёлтого плюшевого мишка с бантом с доставкой в Беларусь!
870,2,"Buy soft toy teddy bear with bow, yellow with delivery to Minsk","""Shop Adorable Yellow Teddy Bear with Bow - Fast Delivery to Minsk!"""
686,1,"Доставка коричневый плюшевый мишка, 38 см. по всей Беларуси",Доставка коричневого плюшевого мишки 38 см по всей Беларуси
686,2,"Fast delivery of soft brown toy teddy bear, coffee, 38 cm. in Minsk","""Soft Brown Teddy Bear 38 cm - Fast Delivery in Minsk!"""
681,1,"Доставить подарочный набор &quot;Для Тебя&quot; c корзинкой роз, мишки, конфет и воздушных шаров по Минску и Беларуси","Доставим подарочный набор ""Для Тебя"" по Минску и Беларуси!"
681,2,"Fast delivery of gift set «for you» with flower basket, teddy bear, box of chocolates and helium balloons in Minsk","""Fast Delivery of 'For You' Gift Set: Flowers, Teddy, & Treats!"""
857,1,Купить лаванда и лагурус в шляпной коробке в Минске,"""Купить лаванду и лагурус в стильной шляпной коробке в Минске"""
857,2,Delivery of multi-colored lavender&amp; lagurus flowers in a hat box all over Belarus,"""Vibrant Lavender & Lagurus Flower Hat Boxes Delivered Across Belarus"""
891,1,"Купить открытка &quot;Если в сердце живёт ЛЮБОВЬ&quot;, ручная работа с доставкой по Минску","Купите открытку ""Если в сердце живёт ЛЮБОВЬ"" — ручная работа!"
891,2,"Fast delivery of postcard &quot;If LOVE lives in the heart&quot;, handmade in Minsk","""Get Fast Delivery of Handmade Postcard 'If LOVE Lives in the Heart'"""
828,1,Купить цветочная композиция из розовых роз в коробке с доставкой по Минску,Купить цветочную композицию из розовых роз с доставкой по Минску
828,2,Best prices for arrangement of bright&amp; dark pink roses in a box with delivery to Minsk,"""Best Prices for Bright & Dark Pink Roses in a Box Delivered to Minsk"""
781,1,Доставить букет из белых альстромерий &quot;Крылья Ангела&quot; по Минску и Беларуси,"Доставка букета белых альстромерий ""Крылья Ангела"" по Минску"
781,2,Delivery of white alstroemeria bouquet &quot;Angel Wings&quot; all over Belarus,"""Stunning White Alstroemeria Bouquet 'Angel Wings' Delivery in Belarus"""
618,1,Доставить букет из 15 кремовых роз c эвкалиптом по Минску и Беларуси,Доставка букета из 15 кремовых роз с эвкалиптом по Минску
618,2,Delivery of bouquet of 15 cream rose with eucaliptus in Minsk - convenient and fast,"""Fast Delivery of 15 Cream Roses with Eucalyptus in Minsk!"""
803,1,"Оформите заказ на букет из 5 красных роз и конфеты raffaello с доставкой Минск, Беларусь",Заказ букета из 5 красных роз и конфет Raffaello в Минске
803,2,Buy bouquet of 5 red roses &amp; box of chocolates raffaello in Minsk,"""Delightful Bouquet of 5 Red Roses & Raffaello Chocolates in Minsk"""
890,1,"Быстрая доставка открытка &quot;Любовь будет моей&quot;, ручная работа в Минске","""Быстрая доставка: открытка 'Любовь будет моей', ручная работа"""
890,2,"Buy postcard &quot;LOVE BE MINE&quot;, handmade in Minsk","""Handmade 'LOVE BE MINE' Postcard from Minsk - Perfect for Gifting!"""
556,1,Доставить набор конфет &quot;Любимая Аленка&quot; по Минску и Беларуси,"Доставка набора конфет ""Любимая Аленка"" по Минску и Беларуси"
556,2,Delivery of assorted candies &quot;Lyubimaya Alenka&quot; in Minsk - convenient and fast,"""Fast Delivery of 'Lyubimaya Alenka' Candy Assortments in Minsk"""
541,1,Быстрая доставка букет лилий &quot;Утренний сон&quot; в Минске,"""Быстрая доставка букета лилий 'Утренний сон' в Минске!"""
541,2,Buy bouquet of flowers &quot;Morning dream&quot; with delivery to Minsk,"""Order 'Morning Dream' Bouquet of Flowers with Delivery to Minsk!"""
889,1,"Оформите заказ на открытка &quot;С днём рождения&quot; №1 с доставкой Минск, Беларусь","Закажите открытку ""С днём рождения"" №1 с доставкой в Минск!"
889,2,Buy postcard &quot;Happy Birthday&quot; №1 in Minsk,"""Shop Happy Birthday Postcard №1 - Unique Picks in Minsk"""
544,1,Лучшие цены на букет из 25 красных роз с доставкой по Минску,Лучшие цены на букет из 25 красных роз с доставкой в Минск!
544,2,Fast delivery of bouquet of  roses &quot;Sincerity bouquet&quot; in Minsk,"""Fast Delivery of Sincerity Bouquet of Roses in Minsk!"""
866,1,Доставка венок &quot;Рождество&quot; по всей Беларуси,"Доставка венка ""Рождество"" по всей Беларуси — сделайте праздник ярче!"
866,2,Fast delivery of wreath &quot;Christmas&quot; in Minsk,"""Fast Delivery of Christmas Wreaths in Minsk – Order Now!"""
940,1,Купить цветы в коробке &quot;Розовые мечты&quot; в Минске,"Купить цветы в коробке ""Розовые мечты"" в Минске — подарок мечты!"
940,2,Delivery of flowers in a box &quot;Pink dreams&quot; in Minsk - convenient and fast,"""Fast Delivery of 'Pink Dreams' Flower Box in Minsk!"""
918,1,"Оформите заказ на мягкая игрушка &quot;Слоник Ститч&quot;, 38 см с доставкой Минск, Беларусь","Закажите мягкую игрушку ""Слоник Ститч"" 38 см с доставкой в Минск!"
918,2,Fast delivery of soft toy &quot;Elephant Stich&quot; in Minsk,"""Fast Delivery of Soft Toy 'Elephant Stich' to Minsk Today!"""
759,1,"Оформите заказ на корзина с цветами из белых роз &quot;Нежное Cердце&quot; с доставкой Минск, Беларусь","Заказ корзины с белыми розами ""Нежное Сердце"" в Минске!"
759,2,Deliver heart-shaped arrangement of white roses «tender heart» to Minsk and Belarus,"""Order Tender Heart: Heart-Shaped White Roses Delivery to Minsk"""
592,1,Доставка корзина с цветами &quot;Нежные ноты любви&quot; по Минску – удобно и быстро,"Доставка корзины с цветами ""Нежные ноты любви"" по Минску"
592,2,Buy lilium basket &quot;Gentle Notes of Love&quot; in Minsk,"""Shop Lilium Basket 'Gentle Notes of Love' in Minsk Today!"""
856,1,Закажите розы в шляпной коробке и плюшевый мишка с доставкой в Беларуси,Закажите розы в шляпной коробке и плюшевого мишку с доставкой!
856,2,Delivery of roses in a luxury box and teddy bear in Minsk - convenient and fast,"""Luxury Rose Delivery with Teddy Bear in Minsk - Fast & Convenient"""
578,1,Лучшие цены на подарочный набор &quot;Плюшевая любовь&quot; из цветочной корзины и плюшевого мишки с доставкой по Минску,"""Лучшие цены на подарочный набор 'Плюшевая любовь' с доставкой!"""
578,2,Best prices for gift set &quot;Plush Love&quot; with spray rose basket &amp; teddy bear with delivery to Minsk,"""Best Prices on Plush Love Gift Set: Teddy Bear & Spray Roses!"""
703,1,"Купить гелиевый фольгированный шарик &quot;I Love You&quot;, №1 с доставкой по Минску","Купите гелиевый фольгированный шарик ""I Love You"" с доставкой!"
703,2,Deliver foil&amp;mylar balloon &quot;I love you&quot; № 38 to Minsk and Belarus,"""Order 'I Love You' Foil & Mylar Balloon № 38 for Minsk, Belarus!"""
744,1,"Доставка игрушка дисней музыкальная &quot;Сонный Ушастик&quot;, 23 см. по всей Беларуси","Доставка музыкальной игрушки Дисней ""Сонный Ушастик"" по Беларуси"
744,2,"Delivery of soft toy &quot;Sleepy Donkey&quot;, 23 сm in Minsk - convenient and fast","""Shop Sleepy Donkey Soft Toy (23 cm) - Fast Delivery in Minsk!"""
950,1,Закажите композиция из роз и эустом с доставкой в Беларуси,Закажите композицию из роз и эустом с быстрой доставкой в Беларуси!
950,2,Deliver composition of roses and eustoma to Minsk and Belarus,"""Beautiful Roses and Eustoma Delivery in Minsk, Belarus"""
906,1,Лучшие цены на букет из 15 разноцветных эустом с доставкой по Минску,"""Лучшие цены на букет из 15 эустом с доставкой по Минску!"""
906,2,"Place an order for bouquet of 15 multicolored eustomas with delivery Minsk, Belarus","## Order 15 Multicolored Eustomas for Delivery in Minsk, Belarus!"
647,1,Лучшие цены на букет лилий &quot;Гармония&quot; с доставкой по Минску,"""Букет лилий 'Гармония': лучшие цены и доставка по Минску!"""
647,2,"Place an order for bouquet of lilies &quot;Harmony&quot; with delivery Minsk, Belarus","## Order ""Harmony"" Lilies Bouquet for Delivery in Minsk, Belarus"
827,1,Лучшие цены на букет из 19 красных роз с доставкой по Минску,"""Лучшие цены на букет из 19 красных роз с доставкой в Минске"""
827,2,Best prices for round bouquet of 19 red roses with delivery to Minsk,"""Best Prices on Round Bouquets of 19 Red Roses Delivered to Minsk"""
848,1,Быстрая доставка подарочный набор сувенир ангел с красной розой в Минске,"""Быстрая доставка: подарочный набор сувенир Ангел с розой"""
848,2,Deliver premium red rose &amp; angel gift set to Minsk and Belarus,"""Send Premium Red Roses & Angel Gift Set to Minsk, Belarus Today!"""
888,1,"Закажите ваза для цветов, 25 см, №3 с доставкой в Беларуси","Закажите вазу для цветов 25 см, №3 с доставкой в Беларусь!"
888,2,"Delivery of flower vase, 25 cm, №3 in Minsk - convenient and fast","""Fast and Convenient Flower Vase Delivery in Minsk - 25 cm, №3"""
917,1,"Лучшие цены на мягкая игрушка бычок коля, 20 см с доставкой по Минску","Лучшие цены на мягкую игрушку бычок Коля, 20 см в Минске!"
917,2,"Buy soft toy bull kolya, 20 cm with delivery to Minsk","""Buy 20 cm Soft Toy Bull Kolya with Delivery to Minsk Today!"""
905,1,Доставка букет из 15 фиолетовых эустом по Минску – удобно и быстро,"""Быстрая доставка букета из 15 фиолетовых эустом по Минску"""
905,2,Fast delivery of bouquet of 15 purple lisianthus in Minsk,"""Fast Delivery: 15 Purple Lisianthus Bouquet in Minsk!"""
989,2,"Place an order for tea box №2 with delivery Minsk, Belarus","**Order Tea Box №2 for Delivery to Minsk, Belarus Today!**"
788,1,Быстрая доставка букет цветов &quot;Моя радость&quot; в Минске,"""Быстрая доставка букета цветов 'Моя радость' в Минске"""
788,2,Best prices for bouquet of flowers &quot;My joy&quot; with delivery to Minsk,"""Affordable 'My Joy' Flower Bouquets with Delivery to Minsk"""
720,1,Лучшие цены на корзинка из роз и фиалок &quot;Сад в корзинке&quot; с доставкой по Минску,"""Корзинка из роз и фиалок 'Сад в корзинке' - лучшие цены в Минске!"""
720,2,Deliver roses and violet garden to go basket to Minsk and Belarus,"""Deliver Beautiful Roses & Violet Garden Go Basket to Minsk, Belarus"""
680,1,"Оформите заказ на корзина из розовых кустовых роз &quot;Для Моей Леди&quot; с доставкой Минск, Беларусь","Закажите корзину из розовых кустовых роз ""Для Моей Леди"" в Минске!"
680,2,"Place an order for basket of pink spray roses &quot;For My Lady&quot; with delivery Minsk, Belarus","**Order Stylish Pink Spray Roses ""For My Lady"" Delivery to Minsk**"
609,1,Купить кофе молотый &quot;Lavazza&quot; crema e gusto. с доставкой по Минску,"Купить молотый кофе ""Lavazza"" crema e gusto с доставкой в Минске!"
609,2,"Best prices for coffee &quot;LAVAZZA&quot; crema e gusto, powder, w / w with delivery to Minsk","""Best Prices on Lavazza Crema e Gusto Coffee Powder with Delivery"""
963,1,"Оформите заказ на открытка &quot;Влюблённые котики&quot;, ручная работа с доставкой Минск, Беларусь","**Закажите открытку ""Влюблённые котики"" ручной работы с доставкой в Минск**"
963,2,"Delivery of postcard &quot;Cats in love&quot;, handmade in Minsk - convenient and fast","""Fast Delivery of Handmade 'Cats in Love' Postcards from Minsk"""
887,1,"Доставить ваза для цветов, 30 см, №2 по Минску и Беларуси","Доставка вазы для цветов №2, 30 см по Минску и Беларуси"
887,2,"Delivery of flower vase, 30 cm, №2 in Minsk - convenient and fast","""Convenient & Fast Delivery of 30 cm Flower Vase №2 in Minsk"""
962,1,"Доставить открытка &quot;Люблю&quot; №5, ручная работа по Минску и Беларуси","""H2: Открытка 'Люблю' №5 — Ручная работа для Минска и Беларуси"""
962,2,"Place an order for postcard &quot;Love&quot; №5, handmade with delivery Minsk, Belarus","Order Handmade ""Love"" №5 Postcard with Delivery to Minsk, Belarus"
561,1,Купить букет цветов &quot;Солнце Мое&quot; с доставкой по Минску,"""Купить букет цветов 'Солнце Мое' с быстрой доставкой в Минске"""
561,2,Delivery of flowers hand-tied bouquet &quot;My Sun&quot; in Minsk - convenient and fast,"""Fast Delivery of Hand-Tied Bouquet 'My Sun' in Minsk"""
802,1,Быстрая доставка букет из разноцветных гвоздик &quot;Симфония цветов&quot; в Минске,"""Быстрая доставка букета из гвоздик 'Симфония цветов' в Минске!"""
802,2,Delivery of bouquet of mixed carnations &quot;Symphony of Colours&quot; all over Belarus,"""Order 'Symphony of Colours' Mixed Carnations for Delivery in Belarus!"""
574,1,"Оформите заказ на букет из 9 красных роз  &quot;Небо Востока&quot; с доставкой Минск, Беларусь","Закажите букет ""Небо Востока"" — 9 красных роз с доставкой в Минск!"
574,2,Best prices for bouquet of  roses &quot;Oriental Sky&quot; with delivery to Minsk,"""Best Prices on 'Oriental Sky' Roses with Delivery to Minsk!"""
646,1,Закажите букет из 11 белых роз и cиняя статица &quot;Диана&quot; с доставкой в Беларуси,"""Закажите 11 белых роз и синюю статицу 'Диана' с доставкой!"""
646,2,Delivery of bouquet of 11 white roses &amp; blue statice&quot; Diana&quot; all over Belarus,"""Elegant Delivery: 11 White Roses & Blue Statice 'Diana' in Belarus"""
837,1,Лучшие цены на букет цветов &quot;Ты моя нежность&quot; с доставкой по Минску,"""Лучшие цены на букет цветов 'Ты моя нежность' в Минске"""
837,2,"Place an order for bouquet of flowers &quot;You are my tenderness&quot; with delivery Minsk, Belarus","Order ""You Are My Tenderness"" Bouquet for Delivery in Minsk!"
855,1,Доставка разноцветные розы в шляпной коробке по всей Беларуси,«Доставка разноцветных роз в шляпной коробке по Беларуси»
658,1,Доставка подсвечник &quot;Роза&quot;. по Минску – удобно и быстро,"Доставка подсвечника ""Роза"" по Минску: удобно и быстро!"
