id_tovara,id_language,name_tovara,category_tovara,h2
858,2,Soft toy &quot;Teddy Bear with heart&quot;,1107,Fast delivery of soft toy &quot;Teddy Bear with heart&quot; in Minsk
649,1,Букет лилий &quot;Цветочный фонтан&quot;,1127,Быстрая доставка букет лилий &quot;Цветочный фонтан&quot; в Минске
649,2,Bouquet of Lilies &quot;Flower fountain&quot;,1127,Deliver bouquet of lilies &quot;Flower fountain&quot; to Minsk and Belarus
576,1,Букет из 35 белых роз &quot;Волшебное утро&quot;,1104,Доставка букет из 35 белых роз &quot;Волшебное утро&quot; по всей Беларуси
576,2,Bouquet of 35 white roses,1104,Deliver bouquet of 35 white roses to Minsk and Belarus
782,1,Букет из разноцветных альстромерий &quot;Салют&quot;,1164,Закажите букет из разноцветных альстромерий &quot;Салют&quot; с доставкой в Беларуси
782,2,Many-Colored Alstroemeria Bouquet  &quot;Salute&quot;,1164,Buy many-colored alstroemeria bouquet  &quot;Salute&quot; with delivery to Minsk
773,1,Цветочная корзина &quot;Белые хризантемы&quot;,1150,Доставить цветочная корзина &quot;Белые хризантемы&quot; по Минску и Беларуси
773,2,Flower Basket &quot;White Chrysanthemums&quot;,1150,Buy flower basket &quot;White Chrysanthemums&quot; in Minsk
713,1,Букет из 7 красных роз &quot;Пламя&quot;,1104,Доставить букет из 7 красных роз &quot;Пламя&quot; по Минску и Беларуси
713,2,Bouquet of 7 Red Roses &quot;Flame&quot;,1104,Best prices for bouquet of 7 red roses &quot;Flame&quot; with delivery to Minsk
805,1,Букет из разноцветных гербер &quot;Реальная Любовь&quot;,1139,"Оформите заказ на букет из разноцветных гербер &quot;Реальная Любовь&quot; с доставкой Минск, Беларусь"
805,2,Hand-tied bouquet of multi colored gerberas &quot;Love Actually&quot;,1139,Best prices for hand-tied bouquet of multi colored gerberas &quot;Love Actually&quot; with delivery to Minsk
755,1,"Фольгированный шарик &quot;Роза&quot;, №60",1167,"Доставка фольгированный шарик &quot;Роза&quot;, №60 по Минску – удобно и быстро"
755,2,Foil&amp;Mylar Balloon &quot;Rose&quot; filled with Helium № 60,1167,Buy foil&amp;mylar balloon &quot;Rose&quot; filled with helium № 60 with delivery to Minsk
601,1,Букет из роз и лилий &quot;Розовая песня&quot;,1127,Доставить букет из роз и лилий &quot;Розовая песня&quot; по Минску и Беларуси
601,2,Flowers bouquet &quot;Lilys &amp; Pink Roses Hand-tied&quot;,1127,"Place an order for flowers bouquet &quot;lilys &amp; pink roses hand-tied&quot; with delivery Minsk, Belarus"
760,1,Букет из тюльпанов и роз &quot;Нежность&quot;,1164,Быстрая доставка букет из тюльпанов и роз &quot;Нежность&quot; в Минске
760,2,Bouquet of Tulips&amp; Roses &quot;Tenderness&quot;,1164,Best prices for bouquet of tulips&amp; roses &quot;Tenderness&quot; with delivery to Minsk
991,1,Кофейная корзинка №2,1142,Доставить кофейная корзинка №2 по Минску и Беларуси
789,1,Букет из розовых роз и альстромерий &quot;Нежный дуэт&quot;,1164,Доставить букет из розовых роз и альстромерий &quot;Нежный дуэт&quot; по Минску и Беларуси
789,2,Bouquet of flowers &quot;Gentle Duo&quot;,1164,Delivery of bouquet of flowers &quot;Gentle Duo&quot; in Minsk - convenient and fast
746,1,"Игрушка дисней &quot;Гуфи&quot;, 45 см.",1160,"Оформите заказ на игрушка дисней &quot;Гуфи&quot;, 45 см. с доставкой Минск, Беларусь"
746,2,"Soft toy &quot;Goofy&quot;, 45 сm",1160,"Best prices for soft toy &quot;Goofy&quot;, 45 сm with delivery to Minsk"
804,1,Букет из 5 розовых гербер,1133,Закажите букет из 5 розовых гербер с доставкой в Беларуси
965,1,"Открытка &quot;Моему котёнку&quot; 8, ручная работа",1176,"Быстрая доставка открытка &quot;Моему котёнку&quot; 8, ручная работа в Минске"
965,2,"Postcard &quot;To my kitten&quot; 8, handmade",1176,"Place an order for postcard &quot;To my kitten&quot; 8, handmade with delivery Minsk, Belarus"
585,1,Корзина из роз в форме сердца &quot;Любящее сердце &quot;,1105,Лучшие цены на корзина из роз в форме сердца &quot;Любящее сердце &quot; с доставкой по Минску
585,2,"Heart-shaped arrangement «Loving heart », red roses",1105,"Delivery of heart-shaped arrangement «loving heart », red roses in Minsk - convenient and fast"
745,1,"Игрушка дисней &quot;Дональд&quot;, 28 см.",1160,"Закажите игрушка дисней &quot;Дональд&quot;, 28 см. с доставкой в Беларуси"
745,2,"Soft toy &quot;Donald&quot;, 28 сm",1160,"Order soft toy &quot;Donald&quot;, 28 сm with delivery to Belarus"
552,1,"Набор конфет &quot;Белая Русь&quot;, 630 гр.",1142,"Быстрая доставка набор конфет &quot;Белая Русь&quot;, 630 гр. в Минске"
552,2,"Assorted candies &quot;White Russia&quot;, 630 gr.",1142,"Fast delivery of assorted candies &quot;White Russia&quot;, 630 gr. in Minsk"
964,1,"Открытка &quot;Люблю&quot; №6, ручная работа",1176,"Доставить открытка &quot;Люблю&quot; №6, ручная работа по Минску и Беларуси"
964,2,"Postcard &quot;Love&quot; №6, handmade",1176,"Best prices for postcard &quot;Love&quot; №6, handmade with delivery to Minsk"
629,1,"Конфеты Raffaello, 150 г.",1142,"Доставка конфеты raffaello, 150 г. по всей Беларуси"
629,2,"Сandy Raffaello, 150gr.",1142,"Best prices for сandy raffaello, 150gr. with delivery to Minsk"
562,1,Букет из 11 Красных Роз,1104,Доставка букет из 11 красных роз по Минску – удобно и быстро
562,2,Bouquet of flowers &quot;11 Red Roses&quot;,1104,Delivery of bouquet of flowers &quot;11 Red Roses&quot; in Minsk - convenient and fast
648,1,Букет из лилий и роз &quot;Восторг&quot;,1127,Закажите букет из лилий и роз &quot;Восторг&quot; с доставкой в Беларуси
648,2,Bouquet of flowers &quot;Delight&quot;,1127,Fast delivery of bouquet of flowers &quot;Delight&quot; in Minsk
575,1,Букет из роз и хризантем &quot;Цветочная фантазия&quot;,1133,"Оформите заказ на букет из роз и хризантем &quot;Цветочная фантазия&quot; с доставкой Минск, Беларусь"
575,2,Flower Hand-Tied &quot;Classic Fantasy Bouquet&quot;,1133,Buy flower hand-tied &quot;Classic Fantasy Bouquet&quot; with delivery to Minsk
603,1,Букет лилий &quot;Я тебя люблю&quot;,1127,Купить букет лилий &quot;Я тебя люблю&quot; с доставкой по Минску
603,2,Bouquet of Flowers &quot;I Love You&quot;,1127,Deliver bouquet of flowers &quot;I Love You&quot; to Minsk and Belarus
682,1,Цветочная композиция в корзине &quot;25 белых роз&quot;,1150,"Оформите заказ на цветочная композиция в корзине &quot;25 белых роз&quot; с доставкой Минск, Беларусь"
682,2,Flower arrangement in a Basket «25 White Roses»,1150,Delivery of flower arrangement in a basket «25 white roses» all over Belarus
704,1,"Фольгированный шарик &quot;Счастливого дня рождения&quot;, №29",1167,"Купить фольгированный шарик &quot;Счастливого дня рождения&quot;, №29 с доставкой по Минску"
704,2,Foil&amp;Mylar Balloon &quot;Happy birthday&quot; filled with Helium № 29,1167,Fast delivery of foil&amp;mylar balloon &quot;Happy birthday&quot; filled with helium № 29 in Minsk
923,1,"Открытка &quot;Моему котёнку&quot; №12, ручная работа",1176,"Купить открытка &quot;Моему котёнку&quot; №12, ручная работа в Минске"
923,2,"Postcard &quot;For my kitten&quot; №12, handmade",1176,"Delivery of postcard &quot;For my kitten&quot; №12, handmade in Minsk - convenient and fast"
551,1,Букет из роз и гербер &quot;Белоснежная Фантазия&quot;,1133,Закажите букет из роз и гербер &quot;Белоснежная Фантазия&quot; с доставкой в Беларуси
551,2,Bouquet of flowers &quot;Snow-white fantasy&quot;,1133,Deliver bouquet of flowers &quot;Snow-white fantasy&quot; to Minsk and Belarus
712,1,Букет из 15 Разноцветных Роз,1104,Доставка букет из 15 разноцветных роз по Минску – удобно и быстро
712,2,Bouquet of 15 Multy-Colored Roses,1104,Delivery of bouquet of 15 multy-colored roses all over Belarus
894,1,Красные розы в чёрной коробке,1175,Быстрая доставка красные розы в чёрной коробке в Минске
894,2,Red roses in black box,1175,Delivery of red roses in black box all over Belarus
893,1,Открытка &quot;С Днём Рождения&quot; №2,1176,"Оформите заказ на открытка &quot;С Днём Рождения&quot; №2 с доставкой Минск, Беларусь"
893,2,Postcard &quot;Happy Birthday&quot; №2,1176,Delivery of postcard &quot;Happy Birthday&quot; №2 all over Belarus
892,2,Postcard Heart,1176,Delivery of postcard heart in Minsk - convenient and fast
610,1,"Кофе молотый &quot;Lavazza&quot; Qualita Oro, жареный",1144,"Купить кофе молотый &quot;Lavazza&quot; qualita oro, жареный с доставкой по Минску"
610,2,"Coffee &quot;LAVAZZA&quot; Qualita Oro, roasted",1144,"Deliver coffee &quot;LAVAZZA&quot; qualita oro, roasted to Minsk and Belarus"
870,1,"Плюшевый мишка с бантом, жёлтый",1161,"Закажите плюшевый мишка с бантом, жёлтый с доставкой в Беларуси"
870,2,"Soft toy teddy bear with bow, yellow",1161,"Buy soft toy teddy bear with bow, yellow with delivery to Minsk"
686,1,"Коричневый плюшевый мишка, 38 см.",1160,"Доставка коричневый плюшевый мишка, 38 см. по всей Беларуси"
686,2,"Soft brown toy teddy bear, coffee, 38 cm.",1160,"Fast delivery of soft brown toy teddy bear, coffee, 38 cm. in Minsk"
681,1,"Подарочный набор &quot;Для Тебя&quot; c корзинкой роз, мишки, конфет и воздушных шаров",1150,"Доставить подарочный набор &quot;Для Тебя&quot; c корзинкой роз, мишки, конфет и воздушных шаров по Минску и Беларуси"
681,2,"Gift set «For you» with Flower Basket, Teddy Bear, Box of Chocolates and Helium Balloons",1150,"Fast delivery of gift set «for you» with flower basket, teddy bear, box of chocolates and helium balloons in Minsk"
857,1,Лаванда и лагурус в шляпной коробке,1175,Купить лаванда и лагурус в шляпной коробке в Минске
857,2,Multi-colored lavender&amp; lagurus flowers in a Hat Box,1175,Delivery of multi-colored lavender&amp; lagurus flowers in a hat box all over Belarus
891,1,"Открытка &quot;Если в сердце живёт ЛЮБОВЬ&quot;, ручная работа",1176,"Купить открытка &quot;Если в сердце живёт ЛЮБОВЬ&quot;, ручная работа с доставкой по Минску"
891,2,"Postcard &quot;If LOVE lives in the heart&quot;, handmade",1176,"Fast delivery of postcard &quot;If LOVE lives in the heart&quot;, handmade in Minsk"
828,1,Цветочная композиция из розовых роз в коробке,1175,Купить цветочная композиция из розовых роз в коробке с доставкой по Минску
828,2,Arrangement of Bright&amp; Dark Pink Roses in a Box,1175,Best prices for arrangement of bright&amp; dark pink roses in a box with delivery to Minsk
781,1,Букет из белых альстромерий &quot;Крылья Ангела&quot;,1164,Доставить букет из белых альстромерий &quot;Крылья Ангела&quot; по Минску и Беларуси
781,2,White Alstroemeria Bouquet &quot;Angel Wings&quot;,1164,Delivery of white alstroemeria bouquet &quot;Angel Wings&quot; all over Belarus
618,1,Букет из 15 кремовых роз c эвкалиптом,1104,Доставить букет из 15 кремовых роз c эвкалиптом по Минску и Беларуси
618,2,Bouquet of 15 cream rose with Eucaliptus,1104,Delivery of bouquet of 15 cream rose with eucaliptus in Minsk - convenient and fast
803,1,Букет из 5 красных роз и конфеты Raffaello,1104,"Оформите заказ на букет из 5 красных роз и конфеты raffaello с доставкой Минск, Беларусь"
803,2,Bouquet of 5 Red Roses &amp; Box of Chocolates Raffaello,1104,Buy bouquet of 5 red roses &amp; box of chocolates raffaello in Minsk
890,1,"Открытка &quot;Любовь будет моей&quot;, ручная работа",1176,"Быстрая доставка открытка &quot;Любовь будет моей&quot;, ручная работа в Минске"
890,2,"Postcard &quot;LOVE BE MINE&quot;, handmade",1176,"Buy postcard &quot;LOVE BE MINE&quot;, handmade in Minsk"
556,1,Набор конфет &quot;Любимая Аленка&quot;,1142,Доставить набор конфет &quot;Любимая Аленка&quot; по Минску и Беларуси
556,2,Assorted candies &quot;Lyubimaya Alenka&quot;,1142,Delivery of assorted candies &quot;Lyubimaya Alenka&quot; in Minsk - convenient and fast
541,1,Букет лилий &quot;Утренний сон&quot;,1127,Быстрая доставка букет лилий &quot;Утренний сон&quot; в Минске
541,2,Bouquet of flowers &quot;Morning dream&quot;,1127,Buy bouquet of flowers &quot;Morning dream&quot; with delivery to Minsk
889,1,Открытка &quot;С днём рождения&quot; №1,1176,"Оформите заказ на открытка &quot;С днём рождения&quot; №1 с доставкой Минск, Беларусь"
889,2,Postcard &quot;Happy Birthday&quot; №1,1176,Buy postcard &quot;Happy Birthday&quot; №1 in Minsk
544,1,Букет из 25 красных роз,1104,Лучшие цены на букет из 25 красных роз с доставкой по Минску
544,2,Bouquet of  roses &quot;Sincerity bouquet&quot;,1104,Fast delivery of bouquet of  roses &quot;Sincerity bouquet&quot; in Minsk
866,1,Венок &quot;Рождество&quot;,1150,Доставка венок &quot;Рождество&quot; по всей Беларуси
866,2,Wreath &quot;Christmas&quot;,1150,Fast delivery of wreath &quot;Christmas&quot; in Minsk
940,1,Цветы в коробке &quot;Розовые мечты&quot;,1175,Купить цветы в коробке &quot;Розовые мечты&quot; в Минске
940,2,Flowers in a box &quot;Pink dreams&quot;,1175,Delivery of flowers in a box &quot;Pink dreams&quot; in Minsk - convenient and fast
918,1,"Мягкая игрушка &quot;Слоник Ститч&quot;, 38 см",1162,"Оформите заказ на мягкая игрушка &quot;Слоник Ститч&quot;, 38 см с доставкой Минск, Беларусь"
918,2,Soft toy &quot;Elephant Stich&quot;,1162,Fast delivery of soft toy &quot;Elephant Stich&quot; in Minsk
759,1,Корзина с цветами из белых роз &quot;Нежное Cердце&quot;,1104,"Оформите заказ на корзина с цветами из белых роз &quot;Нежное Cердце&quot; с доставкой Минск, Беларусь"
759,2,Heart-shaped arrangement of white roses «Tender Heart»,1104,Deliver heart-shaped arrangement of white roses «tender heart» to Minsk and Belarus
592,1,Корзина с цветами &quot;Нежные ноты любви&quot;,1150,Доставка корзина с цветами &quot;Нежные ноты любви&quot; по Минску – удобно и быстро
592,2,Lilium Basket &quot;Gentle Notes of Love&quot;,1150,Buy lilium basket &quot;Gentle Notes of Love&quot; in Minsk
856,1,Розы в шляпной коробке и плюшевый мишка,1175,Закажите розы в шляпной коробке и плюшевый мишка с доставкой в Беларуси
856,2,Roses in a Luxury Box and Teddy Bear,1175,Delivery of roses in a luxury box and teddy bear in Minsk - convenient and fast
578,1,Подарочный набор &quot;Плюшевая любовь&quot; из Цветочной корзины и плюшевого мишки,1150,Лучшие цены на подарочный набор &quot;Плюшевая любовь&quot; из цветочной корзины и плюшевого мишки с доставкой по Минску
578,2,Gift Set &quot;Plush Love&quot; with Spray Rose Basket &amp; Teddy Bear,1150,Best prices for gift set &quot;Plush Love&quot; with spray rose basket &amp; teddy bear with delivery to Minsk
703,1,"Гелиевый фольгированный шарик &quot;I Love You&quot;, №1",1142,"Купить гелиевый фольгированный шарик &quot;I Love You&quot;, №1 с доставкой по Минску"
703,2,Foil&amp;Mylar Balloon &quot;I love you&quot; № 38,1142,Deliver foil&amp;mylar balloon &quot;I love you&quot; № 38 to Minsk and Belarus
744,1,"Игрушка дисней музыкальная &quot;Сонный Ушастик&quot;, 23 см.",1160,"Доставка игрушка дисней музыкальная &quot;Сонный Ушастик&quot;, 23 см. по всей Беларуси"
744,2,"Soft toy &quot;Sleepy Donkey&quot;, 23 сm",1160,"Delivery of soft toy &quot;Sleepy Donkey&quot;, 23 сm in Minsk - convenient and fast"
950,1,Композиция из роз и эустом,1123,Закажите композиция из роз и эустом с доставкой в Беларуси
950,2,Composition of roses and eustoma,1123,Deliver composition of roses and eustoma to Minsk and Belarus
906,1,Букет из 15 разноцветных эустом,1164,Лучшие цены на букет из 15 разноцветных эустом с доставкой по Минску
906,2,Bouquet of 15 multicolored Eustomas,1164,"Place an order for bouquet of 15 multicolored eustomas with delivery Minsk, Belarus"
647,1,Букет лилий &quot;Гармония&quot;,1127,Лучшие цены на букет лилий &quot;Гармония&quot; с доставкой по Минску
647,2,Bouquet of Lilies &quot;Harmony&quot;,1127,"Place an order for bouquet of lilies &quot;Harmony&quot; with delivery Minsk, Belarus"
827,1,Букет из 19 красных роз,1104,Лучшие цены на букет из 19 красных роз с доставкой по Минску
827,2,Round Bouquet of 19 Red Roses,1104,Best prices for round bouquet of 19 red roses with delivery to Minsk
848,1,Подарочный набор Сувенир Ангел с красной розой,1104,Быстрая доставка подарочный набор сувенир ангел с красной розой в Минске
848,2,Premium Red Rose &amp; Angel Gift Set,1104,Deliver premium red rose &amp; angel gift set to Minsk and Belarus
888,1,"Ваза для цветов, 25 см, №3",1176,"Закажите ваза для цветов, 25 см, №3 с доставкой в Беларуси"
888,2,"Flower vase, 25 cm, №3",1176,"Delivery of flower vase, 25 cm, №3 in Minsk - convenient and fast"
917,1,"Мягкая игрушка Бычок Коля, 20 см",1170,"Лучшие цены на мягкая игрушка бычок коля, 20 см с доставкой по Минску"
917,2,"Soft toy Bull Kolya, 20 cm",1170,"Buy soft toy bull kolya, 20 cm with delivery to Minsk"
905,1,Букет из 15 фиолетовых эустом,1164,Доставка букет из 15 фиолетовых эустом по Минску – удобно и быстро
905,2,Bouquet of 15 purple Lisianthus,1164,Fast delivery of bouquet of 15 purple lisianthus in Minsk
989,2,Tea box №2,1130,"Place an order for tea box №2 with delivery Minsk, Belarus"
788,1,Букет цветов &quot;Моя радость&quot;,1164,Быстрая доставка букет цветов &quot;Моя радость&quot; в Минске
788,2,Bouquet of flowers &quot;My joy&quot;,1164,Best prices for bouquet of flowers &quot;My joy&quot; with delivery to Minsk
720,1,Корзинка из роз и фиалок &quot;Сад в корзинке&quot;,1157,Лучшие цены на корзинка из роз и фиалок &quot;Сад в корзинке&quot; с доставкой по Минску
720,2,Roses and Violet Garden To Go Basket,1157,Deliver roses and violet garden to go basket to Minsk and Belarus
680,1,Корзина из розовых кустовых роз &quot;Для Моей Леди&quot;,1150,"Оформите заказ на корзина из розовых кустовых роз &quot;Для Моей Леди&quot; с доставкой Минск, Беларусь"
680,2,Basket of pink spray roses &quot;For My Lady&quot;,1150,"Place an order for basket of pink spray roses &quot;For My Lady&quot; with delivery Minsk, Belarus"
609,1,Кофе молотый &quot;Lavazza&quot; Crema e Gusto.,1130,Купить кофе молотый &quot;Lavazza&quot; crema e gusto. с доставкой по Минску
609,2,"Coffee &quot;LAVAZZA&quot; Crema e Gusto, powder, w / w",1130,"Best prices for coffee &quot;LAVAZZA&quot; crema e gusto, powder, w / w with delivery to Minsk"
963,1,"Открытка &quot;Влюблённые котики&quot;, ручная работа",1176,"Оформите заказ на открытка &quot;Влюблённые котики&quot;, ручная работа с доставкой Минск, Беларусь"
963,2,"Postcard &quot;Cats in love&quot;, handmade",1176,"Delivery of postcard &quot;Cats in love&quot;, handmade in Minsk - convenient and fast"
887,1,"Ваза для цветов, 30 см, №2",1176,"Доставить ваза для цветов, 30 см, №2 по Минску и Беларуси"
887,2,"Flower vase, 30 cm, №2",1176,"Delivery of flower vase, 30 cm, №2 in Minsk - convenient and fast"
962,1,"Открытка &quot;Люблю&quot; №5, ручная работа",1176,"Доставить открытка &quot;Люблю&quot; №5, ручная работа по Минску и Беларуси"
962,2,"Postcard &quot;Love&quot; №5, handmade",1176,"Place an order for postcard &quot;Love&quot; №5, handmade with delivery Minsk, Belarus"
561,1,Букет цветов &quot;Солнце Мое&quot;,1122,Купить букет цветов &quot;Солнце Мое&quot; с доставкой по Минску
561,2,Flowers Hand-tied Bouquet &quot;My Sun&quot;,1122,Delivery of flowers hand-tied bouquet &quot;My Sun&quot; in Minsk - convenient and fast
802,1,Букет из разноцветных гвоздик &quot;Симфония цветов&quot;,1139,Быстрая доставка букет из разноцветных гвоздик &quot;Симфония цветов&quot; в Минске
802,2,Bouquet of mixed carnations &quot;Symphony of Colours&quot;,1139,Delivery of bouquet of mixed carnations &quot;Symphony of Colours&quot; all over Belarus
574,1,Букет из 9 Красных Роз  &quot;Небо Востока&quot;,1104,"Оформите заказ на букет из 9 красных роз  &quot;Небо Востока&quot; с доставкой Минск, Беларусь"
574,2,Bouquet of  Roses &quot;Oriental Sky&quot;,1104,Best prices for bouquet of  roses &quot;Oriental Sky&quot; with delivery to Minsk
646,1,Букет из 11 белых роз и cиняя статица &quot;Диана&quot;,1104,Закажите букет из 11 белых роз и cиняя статица &quot;Диана&quot; с доставкой в Беларуси
646,2,Bouquet of 11 White Roses &amp; Blue Statice&quot; Diana&quot;,1104,Delivery of bouquet of 11 white roses &amp; blue statice&quot; Diana&quot; all over Belarus
837,1,Букет цветов &quot;Ты моя нежность&quot;,1104,Лучшие цены на букет цветов &quot;Ты моя нежность&quot; с доставкой по Минску
837,2,Bouquet of flowers &quot;You are my tenderness&quot;,1104,"Place an order for bouquet of flowers &quot;You are my tenderness&quot; with delivery Minsk, Belarus"
855,1,Разноцветные розы в шляпной коробке,1175,Доставка разноцветные розы в шляпной коробке по всей Беларуси
658,1,Подсвечник &quot;Роза&quot;.,1163,Доставка подсвечник &quot;Роза&quot;. по Минску – удобно и быстро
658,2,Candle Holder Rose,1163,Best prices for candle holder rose with delivery to Minsk
922,1,"Открытка &quot;Кахаю цябе&quot;, ручная работа",1176,"Доставка открытка &quot;Кахаю цябе&quot;, ручная работа по всей Беларуси"
922,2,"Postcard &quot;I Love&quot;, handmade",1176,"Place an order for postcard &quot;I Love&quot;, handmade with delivery Minsk, Belarus"
801,1,Букет из 11 красных гвоздик,1139,Быстрая доставка букет из 11 красных гвоздик в Минске
801,2,Hand-tied Bouquet of Red Carnations,1139,Delivery of hand-tied bouquet of red carnations all over Belarus
975,1,Букет из 5 красных роз и 2 белых лилий,1104,Доставка букет из 5 красных роз и 2 белых лилий по Минску – удобно и быстро
975,2,Bouquet of 5 red roses and 2 white lilies,1104,Order bouquet of 5 red roses and 2 white lilies with delivery to Belarus
565,1,Букет из роз и гербер &quot;Вдохновение&quot;,1133,Купить букет из роз и гербер &quot;Вдохновение&quot; в Минске
565,2,Bouquet of flowers &quot;Pink impressions&quot;,1133,Delivery of bouquet of flowers &quot;Pink impressions&quot; in Minsk - convenient and fast
886,1,"Ваза для цветов, 24 см, №4",1176,"Быстрая доставка ваза для цветов, 24 см, №4 в Минске"
886,2,"Flower vase, 24 cm, №4",1176,"Order flower vase, 24 cm, №4 with delivery to Belarus"
600,1,Желтая орхидея в кашпо,1127,Лучшие цены на желтая орхидея в кашпо с доставкой по Минску
600,2,Yellow orchid in a planter,1127,Buy yellow orchid in a planter with delivery to Minsk
847,1,Белый плюшевый мишка &quot;I love you&quot; 190 см (только по Беларуси),1161,"Оформите заказ на белый плюшевый мишка &quot;I love you&quot; 190 см (только по беларуси) с доставкой Минск, Беларусь"
847,2,White Teddy bear &quot;I love you&quot; 190 cm (only to Belarus),1161,Delivery of white teddy bear &quot;I love you&quot; 190 cm (only to belarus) all over Belarus
961,1,"Открытка &quot;Люблю&quot; №4, ручная работа",1176,"Купить открытка &quot;Люблю&quot; №4, ручная работа в Минске"
961,2,"Postcard &quot;Love&quot; №4, handmade",1176,"Order postcard &quot;Love&quot; №4, handmade with delivery to Belarus"
645,1,Букет из 11 красных роз и хризантем,1104,Лучшие цены на букет из 11 красных роз и хризантем с доставкой по Минску
645,2,11 Red Roses &amp; Chrysanthemums Bouquet,1104,Buy 11 red roses &amp; chrysanthemums bouquet with delivery to Minsk
974,1,"Букет из хризантемы, розы, герберы",1104,"Быстрая доставка букет из хризантемы, розы, герберы в Минске"
974,2,"Bouquet of chrysanthemum, rose, gerbera",1104,"Deliver bouquet of chrysanthemum, rose, gerbera to Minsk and Belarus"
